Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,09/11/2021,Northeast,New York,Albany,Women's Apparel,70,650,"455,000",227500.00,50%,In-store
West Gear,1185732,08/12/2021,Northeast,New York,Albany,Men's Street Footwear,65,875,"568,750",255938.00,45%,In-store
West Gear,1185732,08/12/2021,Northeast,New York,Albany,Men's Athletic Footwear,55,675,"371,250",129938.00,35%,In-store
Kohl's,1185732,08/12/2021,Northeast,New York,Albany,Women's Street Footwear,55,625,"343,750",85938.00,25%,In-store
Kohl's,1185732,08/12/2021,Northeast,New York,Albany,Women's Athletic Footwear,55,575,"316,250",94875.00,30%,In-store
Kohl's,1185732,08/12/2021,Northeast,New York,Albany,Men's Apparel,65,575,"373,750",130813.00,35%,In-store
Kohl's,1185732,08/12/2021,Northeast,New York,Albany,Women's Apparel,70,675,"472,500",236250.00,50%,In-store
Kohl's,1185732,14/01/2021,Northeast,New York,Albany,Men's Street Footwear,40,800,"320,000",160000.00,50%,In-store
Kohl's,1185732,14/01/2021,Northeast,New York,Albany,Men's Athletic Footwear,40,600,"240,000",72000.00,30%,In-store
Kohl's,1185732,14/01/2021,Northeast,New York,Albany,Women's Street Footwear,30,600,"180,000",63000.00,35%,In-store
Kohl's,1185732,14/01/2021,Northeast,New York,Albany,Women's Athletic Footwear,35,450,"157,500",55125.00,35%,In-store
Kohl's,1185732,14/01/2021,Northeast,New York,Albany,Men's Apparel,50,500,"250,000",75000.00,30%,In-store
Kohl's,1185732,14/01/2021,Northeast,New York,Albany,Women's Apparel,40,600,"240,000",60000.00,25%,In-store
Kohl's,1185732,12/02/2021,Northeast,New York,Albany,Men's Street Footwear,40,850,"340,000",170000.00,50%,In-store
Kohl's,1185732,12/02/2021,Northeast,New York,Albany,Men's Athletic Footwear,40,500,"200,000",60000.00,30%,In-store
Kohl's,1185732,12/02/2021,Northeast,New York,Albany,Women's Street Footwear,30,550,"165,000",57750.00,35%,In-store
Kohl's,1185732,12/02/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,35,425,"148,750",52063.00,35%,In-store
Kohl's,1185732,12/02/2021,West,Wyoming,Cheyenne,Men's Apparel,50,500,"250,000",75000.00,30%,In-store
Kohl's,1185732,12/02/2021,West,Wyoming,Cheyenne,Women's Apparel,40,600,"240,000",60000.00,25%,In-store
Kohl's,1185732,10/03/2021,West,Wyoming,Cheyenne,Men's Street Footwear,40,820,"328,000",164000.00,50%,In-store
Kohl's,1185732,10/03/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,40,525,"210,000",63000.00,30%,In-store
Kohl's,1185732,10/03/2021,West,Wyoming,Cheyenne,Women's Street Footwear,30,550,"165,000",57750.00,35%,In-store
Kohl's,1185732,10/03/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,35,400,"140,000",49000.00,35%,In-store
Kohl's,1185732,10/03/2021,West,Wyoming,Cheyenne,Men's Apparel,50,450,"225,000",67500.00,30%,In-store
Kohl's,1185732,10/03/2021,West,Wyoming,Cheyenne,Women's Apparel,40,550,"220,000",55000.00,25%,In-store
Kohl's,1185732,11/04/2021,West,Wyoming,Cheyenne,Men's Street Footwear,40,800,"320,000",160000.00,50%,In-store
Kohl's,1185732,11/04/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,40,500,"200,000",60000.00,30%,In-store
Kohl's,1185732,11/04/2021,West,Wyoming,Cheyenne,Women's Street Footwear,30,500,"150,000",52500.00,35%,In-store
Kohl's,1185732,11/04/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,35,425,"148,750",52063.00,35%,In-store
Kohl's,1185732,11/04/2021,West,Wyoming,Cheyenne,Men's Apparel,50,425,"212,500",63750.00,30%,In-store
Kohl's,1185732,11/04/2021,West,Wyoming,Cheyenne,Women's Apparel,40,550,"220,000",55000.00,25%,In-store
Kohl's,1185732,10/05/2021,West,Wyoming,Cheyenne,Men's Street Footwear,50,820,"410,000",205000.00,50%,In-store
Kohl's,1185732,10/05/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,525,"236,250",70875.00,30%,In-store
Kohl's,1185732,10/05/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,500,"200,000",70000.00,35%,In-store
Kohl's,1185732,10/05/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,40,450,"180,000",63000.00,35%,In-store
Kohl's,1185732,10/05/2021,West,Wyoming,Cheyenne,Men's Apparel,50,475,"237,500",71250.00,30%,In-store
Kohl's,1185732,10/05/2021,West,Wyoming,Cheyenne,Women's Apparel,55,600,"330,000",82500.00,25%,In-store
Kohl's,1185732,12/06/2021,West,Wyoming,Cheyenne,Men's Street Footwear,50,850,"425,000",212500.00,50%,In-store
Kohl's,1185732,12/06/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,600,"270,000",81000.00,30%,In-store
Kohl's,1185732,12/06/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,525,"210,000",73500.00,35%,In-store
Kohl's,1185732,12/06/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,40,500,"200,000",70000.00,35%,In-store
Kohl's,1185732,12/06/2021,West,Wyoming,Cheyenne,Men's Apparel,50,500,"250,000",75000.00,30%,In-store
Kohl's,1185732,12/06/2021,West,Wyoming,Cheyenne,Women's Apparel,55,650,"357,500",89375.00,25%,In-store
Kohl's,1185732,10/07/2021,West,Wyoming,Cheyenne,Men's Street Footwear,50,875,"437,500",218750.00,50%,In-store
Kohl's,1185732,10/07/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,625,"281,250",84375.00,30%,In-store
Kohl's,1185732,10/07/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,550,"220,000",77000.00,35%,In-store
Kohl's,1185732,10/07/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,40,500,"200,000",70000.00,35%,In-store
Kohl's,1185732,10/07/2021,West,Wyoming,Cheyenne,Men's Apparel,50,525,"262,500",78750.00,30%,In-store
Kohl's,1185732,10/07/2021,West,Wyoming,Cheyenne,Women's Apparel,55,700,"385,000",96250.00,25%,In-store
Kohl's,1185732,11/08/2021,West,Wyoming,Cheyenne,Men's Street Footwear,50,850,"425,000",212500.00,50%,In-store
Kohl's,1185732,11/08/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,625,"281,250",84375.00,30%,In-store
Kohl's,1185732,11/08/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,550,"220,000",77000.00,35%,In-store
Kohl's,1185732,11/08/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,40,525,"210,000",73500.00,35%,In-store
Kohl's,1185732,11/08/2021,West,Wyoming,Cheyenne,Men's Apparel,50,500,"250,000",75000.00,30%,In-store
Kohl's,1185732,11/08/2021,West,Wyoming,Cheyenne,Women's Apparel,55,675,"371,250",92813.00,25%,In-store
Kohl's,1185732,10/09/2021,West,Wyoming,Cheyenne,Men's Street Footwear,50,800,"400,000",200000.00,50%,In-store
Kohl's,1185732,10/09/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,600,"270,000",81000.00,30%,In-store
Kohl's,1185732,10/09/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,525,"210,000",73500.00,35%,In-store
Kohl's,1185732,10/09/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,40,500,"200,000",70000.00,35%,In-store
Kohl's,1185732,10/09/2021,West,Wyoming,Cheyenne,Men's Apparel,50,500,"250,000",75000.00,30%,In-store
Kohl's,1185732,10/09/2021,West,Wyoming,Cheyenne,Women's Apparel,55,600,"330,000",82500.00,25%,In-store
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Men's Street Footwear,55,775,"426,250",213125.00,50%,In-store
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,600,"270,000",81000.00,30%,In-store
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Women's Street Footwear,45,500,"225,000",78750.00,35%,In-store
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,45,475,"213,750",74813.00,35%,In-store
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Men's Apparel,55,475,"261,250",78375.00,30%,In-store
Kohl's,1185732,12/10/2021,West,Wyoming,Cheyenne,Women's Apparel,60,600,"360,000",90000.00,25%,In-store
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Men's Street Footwear,55,750,"412,500",206250.00,50%,In-store
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,575,"258,750",77625.00,30%,In-store
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Women's Street Footwear,45,520,"234,000",81900.00,35%,In-store
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,45,500,"225,000",78750.00,35%,In-store
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Men's Apparel,55,475,"261,250",78375.00,30%,In-store
Kohl's,1185732,11/11/2021,West,Wyoming,Cheyenne,Women's Apparel,60,575,"345,000",86250.00,25%,In-store
Kohl's,1185732,10/12/2021,West,Wyoming,Cheyenne,Men's Street Footwear,55,800,"440,000",220000.00,50%,In-store
Kohl's,1185732,10/12/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,45,600,"270,000",81000.00,30%,In-store
Foot Locker,1185732,10/12/2021,West,Wyoming,Cheyenne,Women's Street Footwear,45,550,"247,500",86625.00,35%,In-store
Foot Locker,1185732,10/12/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,45,500,"225,000",78750.00,35%,In-store
Foot Locker,1185732,10/12/2021,West,Wyoming,Cheyenne,Men's Apparel,55,500,"275,000",82500.00,30%,In-store
Foot Locker,1185732,10/12/2021,West,Wyoming,Cheyenne,Women's Apparel,60,600,"360,000",90000.00,25%,In-store
Foot Locker,1128299,24/01/2021,West,Wyoming,Cheyenne,Men's Street Footwear,30,350,"105,000",36750.00,35%,In-store
Foot Locker,1128299,24/01/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,40,350,"140,000",49000.00,35%,In-store
Foot Locker,1128299,24/01/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,350,"140,000",49000.00,35%,In-store
Foot Locker,1128299,24/01/2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,40,200,"80,000",28000.00,35%,In-store
Foot Locker,1128299,24/01/2021,West,Wyoming,Cheyenne,Men's Apparel,45,150,"67,500",27000.00,40%,In-store
Foot Locker,1128299,24/01/2021,West,Wyoming,Cheyenne,Women's Apparel,40,400,"160,000",48000.00,30%,In-store
Foot Locker,1128299,24/02/2021,West,Wyoming,Cheyenne,Men's Street Footwear,30,450,"135,000",47250.00,35%,In-store
Foot Locker,1128299,24/02/2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,40,350,"140,000",49000.00,35%,In-store
Foot Locker,1128299,24/02/2021,West,Wyoming,Cheyenne,Women's Street Footwear,40,350,"140,000",49000.00,35%,In-store
Foot Locker,1128299,24/02/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,40,200,"80,000",28000.00,35%,In-store
Foot Locker,1128299,24/02/2021,Southeast,Virginia,Richmond,Men's Apparel,45,125,"56,250",22500.00,40%,In-store
Foot Locker,1128299,24/02/2021,Southeast,Virginia,Richmond,Women's Apparel,40,325,"130,000",39000.00,30%,In-store
Foot Locker,1128299,23/03/2021,Southeast,Virginia,Richmond,Men's Street Footwear,40,475,"190,000",66500.00,35%,In-store
Foot Locker,1128299,23/03/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,50,325,"162,500",56875.00,35%,In-store
Foot Locker,1128299,23/03/2021,Southeast,Virginia,Richmond,Women's Street Footwear,55,350,"192,500",67375.00,35%,In-store
Foot Locker,1128299,23/03/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,50,250,"125,000",43750.00,35%,In-store
Foot Locker,1128299,23/03/2021,Southeast,Virginia,Richmond,Men's Apparel,55,100,"55,000",22000.00,40%,In-store
Foot Locker,1128299,23/03/2021,Southeast,Virginia,Richmond,Women's Apparel,50,300,"150,000",45000.00,30%,In-store
Foot Locker,1128299,24/04/2021,Southeast,Virginia,Richmond,Men's Street Footwear,55,475,"261,250",91438.00,35%,In-store
Foot Locker,1128299,24/04/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,60,275,"165,000",57750.00,35%,In-store
Foot Locker,1128299,24/04/2021,Southeast,Virginia,Richmond,Women's Street Footwear,60,325,"195,000",68250.00,35%,In-store
Foot Locker,1128299,24/04/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,45,225,"101,250",35438.00,35%,In-store
Foot Locker,1128299,24/04/2021,Southeast,Virginia,Richmond,Men's Apparel,50,125,"62,500",25000.00,40%,In-store
Foot Locker,1128299,24/04/2021,Southeast,Virginia,Richmond,Women's Apparel,65,300,"195,000",58500.00,30%,In-store
Foot Locker,1128299,25/05/2021,Southeast,Virginia,Richmond,Men's Street Footwear,50,500,"250,000",87500.00,35%,In-store
Foot Locker,1128299,25/05/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,55,350,"192,500",67375.00,35%,In-store
Foot Locker,1128299,25/05/2021,Southeast,Virginia,Richmond,Women's Street Footwear,55,350,"192,500",67375.00,35%,In-store
Foot Locker,1128299,25/05/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,50,275,"137,500",48125.00,35%,In-store
Foot Locker,1128299,25/05/2021,Southeast,Virginia,Richmond,Men's Apparel,45,175,"78,750",31500.00,40%,In-store
Foot Locker,1128299,25/05/2021,Southeast,Virginia,Richmond,Women's Apparel,60,525,"315,000",94500.00,30%,In-store
Foot Locker,1128299,24/06/2021,Southeast,Virginia,Richmond,Men's Street Footwear,55,775,"426,250",149188.00,35%,In-store
Foot Locker,1128299,24/06/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,65,650,"422,500",147875.00,35%,In-store
Foot Locker,1128299,24/06/2021,Southeast,Virginia,Richmond,Women's Street Footwear,80,650,"520,000",182000.00,35%,In-store
Foot Locker,1128299,24/06/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,80,525,"420,000",147000.00,35%,In-store
Foot Locker,1128299,24/06/2021,Southeast,Virginia,Richmond,Men's Apparel,90,400,"360,000",144000.00,40%,In-store
Foot Locker,1128299,24/06/2021,Southeast,Virginia,Richmond,Women's Apparel,105,700,"735,000",220500.00,30%,In-store
Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Men's Street Footwear,85,850,"722,500",252875.00,35%,In-store
Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,90,700,"630,000",220500.00,35%,In-store
Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Women's Street Footwear,90,650,"585,000",204750.00,35%,In-store
Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,85,550,"467,500",163625.00,35%,In-store
Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Men's Apparel,90,600,"540,000",216000.00,40%,In-store
Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Women's Apparel,105,600,"630,000",189000.00,30%,In-store
Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Men's Street Footwear,90,800,"720,000",252000.00,35%,In-store
Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,80,775,"620,000",217000.00,35%,In-store
Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Women's Street Footwear,70,650,"455,000",159250.00,35%,In-store
Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,70,425,"297,500",104125.00,35%,In-store
Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Men's Apparel,70,425,"297,500",119000.00,40%,In-store
Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Women's Apparel,75,250,"187,500",56250.00,30%,In-store
Foot Locker,1128299,25/09/2021,Southeast,Virginia,Richmond,Men's Street Footwear,50,450,"225,000",78750.00,35%,In-store
Foot Locker,1128299,25/09/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,55,450,"247,500",86625.00,35%,In-store
Foot Locker,1128299,25/09/2021,Southeast,Virginia,Richmond,Women's Street Footwear,50,250,"125,000",43750.00,35%,In-store
Foot Locker,1128299,25/09/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,50,200,"100,000",35000.00,35%,In-store
Foot Locker,1128299,25/09/2021,Southeast,Virginia,Richmond,Men's Apparel,60,225,"135,000",54000.00,40%,In-store
Foot Locker,1128299,25/09/2021,Southeast,Virginia,Richmond,Women's Apparel,45,250,"112,500",33750.00,30%,In-store
Foot Locker,1128299,24/10/2021,Southeast,Virginia,Richmond,Men's Street Footwear,40,350,"140,000",49000.00,35%,In-store
Foot Locker,1128299,24/10/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,55,525,"288,750",101063.00,35%,In-store
Foot Locker,1128299,24/10/2021,Southeast,Virginia,Richmond,Women's Street Footwear,50,350,"175,000",61250.00,35%,In-store
Foot Locker,1128299,24/10/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,45,325,"146,250",51188.00,35%,In-store
Foot Locker,1128299,24/10/2021,Southeast,Virginia,Richmond,Men's Apparel,55,300,"165,000",66000.00,40%,In-store
Foot Locker,1128299,24/10/2021,Southeast,Virginia,Richmond,Women's Apparel,60,350,"210,000",63000.00,30%,In-store
Foot Locker,1128299,24/11/2021,Southeast,Virginia,Richmond,Men's Street Footwear,45,575,"258,750",90563.00,35%,In-store
Foot Locker,1128299,24/11/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,50,650,"325,000",113750.00,35%,In-store
Foot Locker,1128299,24/11/2021,Southeast,Virginia,Richmond,Women's Street Footwear,45,475,"213,750",74813.00,35%,In-store
Foot Locker,1128299,24/11/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,55,450,"247,500",86625.00,35%,In-store
Foot Locker,1128299,24/11/2021,Southeast,Virginia,Richmond,Men's Apparel,75,425,"318,750",127500.00,40%,In-store
Foot Locker,1128299,24/11/2021,Southeast,Virginia,Richmond,Women's Apparel,80,550,"440,000",132000.00,30%,In-store
Foot Locker,1128299,23/12/2021,Southeast,Virginia,Richmond,Men's Street Footwear,65,750,"487,500",170625.00,35%,In-store
Foot Locker,1128299,23/12/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,75,750,"562,500",196875.00,35%,In-store
Sports Direct,1128299,23/12/2021,Southeast,Virginia,Richmond,Women's Street Footwear,70,550,"385,000",134750.00,35%,In-store
Sports Direct,1128299,23/12/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,70,550,"385,000",134750.00,35%,In-store
Sports Direct,1128299,23/12/2021,Southeast,Virginia,Richmond,Men's Apparel,80,475,"380,000",152000.00,40%,In-store
Sports Direct,1128299,23/12/2021,Southeast,Virginia,Richmond,Women's Apparel,85,575,"488,750",146625.00,30%,In-store
Sports Direct,1185732,19/01/2021,Southeast,Virginia,Richmond,Men's Street Footwear,35,750,"262,500",131250.00,50%,In-store
Sports Direct,1185732,19/01/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,35,550,"192,500",77000.00,40%,In-store
Sports Direct,1185732,19/01/2021,Southeast,Virginia,Richmond,Women's Street Footwear,25,550,"137,500",41250.00,30%,In-store
Sports Direct,1185732,19/01/2021,Southeast,Virginia,Richmond,Women's Athletic Footwear,30,400,"120,000",42000.00,35%,In-store
Sports Direct,1185732,19/01/2021,Southeast,Virginia,Richmond,Men's Apparel,45,450,"202,500",81000.00,40%,In-store
Sports Direct,1185732,19/01/2021,Southeast,Virginia,Richmond,Women's Apparel,35,550,"192,500",105875.00,55%,In-store
Sports Direct,1185732,17/02/2021,Southeast,Virginia,Richmond,Men's Street Footwear,35,800,"280,000",140000.00,50%,In-store
Sports Direct,1185732,17/02/2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,35,450,"157,500",63000.00,40%,In-store
Sports Direct,1185732,17/02/2021,Southeast,Virginia,Richmond,Women's Street Footwear,25,500,"125,000",37500.00,30%,In-store
Sports Direct,1185732,17/02/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,30,375,"112,500",39375.00,35%,In-store
Sports Direct,1185732,17/02/2021,Midwest,Michigan,Detroit,Men's Apparel,45,450,"202,500",81000.00,40%,In-store
Sports Direct,1185732,17/02/2021,Midwest,Michigan,Detroit,Women's Apparel,35,550,"192,500",105875.00,55%,In-store
Sports Direct,1185732,15/03/2021,Midwest,Michigan,Detroit,Men's Street Footwear,35,770,"269,500",134750.00,50%,In-store
Sports Direct,1185732,15/03/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,35,450,"157,500",63000.00,40%,In-store
Sports Direct,1185732,15/03/2021,Midwest,Michigan,Detroit,Women's Street Footwear,25,475,"118,750",35625.00,30%,In-store
Sports Direct,1185732,15/03/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,30,325,"97,500",34125.00,35%,In-store
Sports Direct,1185732,15/03/2021,Midwest,Michigan,Detroit,Men's Apparel,45,375,"168,750",67500.00,40%,In-store
Sports Direct,1185732,15/03/2021,Midwest,Michigan,Detroit,Women's Apparel,35,475,"166,250",91438.00,55%,In-store
Sports Direct,1185732,16/04/2021,Midwest,Michigan,Detroit,Men's Street Footwear,35,725,"253,750",126875.00,50%,In-store
Sports Direct,1185732,16/04/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,40,425,"170,000",68000.00,40%,In-store
Sports Direct,1185732,16/04/2021,Midwest,Michigan,Detroit,Women's Street Footwear,30,450,"135,000",40500.00,30%,In-store
Sports Direct,1185732,16/04/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,35,375,"131,250",45938.00,35%,In-store
Sports Direct,1185732,16/04/2021,Midwest,Michigan,Detroit,Men's Apparel,50,400,"200,000",80000.00,40%,In-store
Sports Direct,1185732,16/04/2021,Midwest,Michigan,Detroit,Women's Apparel,40,525,"210,000",115500.00,55%,In-store
Sports Direct,1185732,15/05/2021,Midwest,Michigan,Detroit,Men's Street Footwear,50,795,"397,500",198750.00,50%,In-store
Sports Direct,1185732,15/05/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,50,500,"250,000",100000.00,40%,In-store
Sports Direct,1185732,15/05/2021,Midwest,Michigan,Detroit,Women's Street Footwear,45,475,"213,750",64125.00,30%,In-store
Sports Direct,1185732,15/05/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,45,450,"202,500",70875.00,35%,In-store
Sports Direct,1185732,15/05/2021,Midwest,Michigan,Detroit,Men's Apparel,55,475,"261,250",104500.00,40%,In-store
Sports Direct,1185732,15/05/2021,Midwest,Michigan,Detroit,Women's Apparel,60,575,"345,000",189750.00,55%,In-store
Sports Direct,1185732,17/06/2021,Midwest,Michigan,Detroit,Men's Street Footwear,55,825,"453,750",226875.00,50%,In-store
Sports Direct,1185732,17/06/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,50,575,"287,500",115000.00,40%,In-store
Sports Direct,1185732,17/06/2021,Midwest,Michigan,Detroit,Women's Street Footwear,45,550,"247,500",74250.00,30%,In-store
Sports Direct,1185732,17/06/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,45,525,"236,250",82688.00,35%,In-store
Sports Direct,1185732,17/06/2021,Midwest,Michigan,Detroit,Men's Apparel,60,525,"315,000",126000.00,40%,In-store
Sports Direct,1185732,17/06/2021,Midwest,Michigan,Detroit,Women's Apparel,65,675,"438,750",241313.00,55%,In-store
Sports Direct,1185732,15/07/2021,Midwest,Michigan,Detroit,Men's Street Footwear,60,900,"540,000",270000.00,50%,In-store
Sports Direct,1185732,15/07/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,55,650,"357,500",143000.00,40%,In-store
Sports Direct,1185732,15/07/2021,Midwest,Michigan,Detroit,Women's Street Footwear,50,575,"287,500",86250.00,30%,In-store
Sports Direct,1185732,15/07/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,50,525,"262,500",91875.00,35%,In-store
Sports Direct,1185732,15/07/2021,Midwest,Michigan,Detroit,Men's Apparel,60,550,"330,000",132000.00,40%,In-store
Sports Direct,1185732,15/07/2021,Midwest,Michigan,Detroit,Women's Apparel,65,725,"471,250",259188.00,55%,In-store
Sports Direct,1185732,16/08/2021,Midwest,Michigan,Detroit,Men's Street Footwear,60,875,"525,000",262500.00,50%,In-store
Sports Direct,1185732,16/08/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,55,650,"357,500",143000.00,40%,In-store
Sports Direct,1185732,16/08/2021,Midwest,Michigan,Detroit,Women's Street Footwear,45,575,"258,750",77625.00,30%,In-store
Sports Direct,1185732,16/08/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,35,525,"183,750",64313.00,35%,In-store
Sports Direct,1185732,16/08/2021,Midwest,Michigan,Detroit,Men's Apparel,45,500,"225,000",90000.00,40%,In-store
Sports Direct,1185732,16/08/2021,Midwest,Michigan,Detroit,Women's Apparel,50,675,"337,500",185625.00,55%,In-store
Sports Direct,1185732,15/09/2021,Midwest,Michigan,Detroit,Men's Street Footwear,45,800,"360,000",180000.00,50%,In-store
Sports Direct,1185732,15/09/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,40,600,"240,000",96000.00,40%,In-store
Sports Direct,1185732,15/09/2021,Midwest,Michigan,Detroit,Women's Street Footwear,35,500,"175,000",52500.00,30%,In-store
Sports Direct,1185732,15/09/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,35,475,"166,250",58188.00,35%,In-store
Sports Direct,1185732,15/09/2021,Midwest,Michigan,Detroit,Men's Apparel,45,475,"213,750",85500.00,40%,In-store
Sports Direct,1185732,15/09/2021,Midwest,Michigan,Detroit,Women's Apparel,50,575,"287,500",158125.00,55%,In-store
Sports Direct,1185732,17/10/2021,Midwest,Michigan,Detroit,Men's Street Footwear,50,750,"375,000",187500.00,50%,In-store
Sports Direct,1185732,17/10/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,40,575,"230,000",92000.00,40%,In-store
Sports Direct,1185732,17/10/2021,Midwest,Michigan,Detroit,Women's Street Footwear,40,425,"170,000",51000.00,30%,In-store
Sports Direct,1185732,17/10/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,40,400,"160,000",56000.00,35%,In-store
Sports Direct,1185732,17/10/2021,Midwest,Michigan,Detroit,Men's Apparel,50,400,"200,000",80000.00,40%,In-store
Sports Direct,1185732,17/10/2021,Midwest,Michigan,Detroit,Women's Apparel,55,525,"288,750",158813.00,55%,In-store
Sports Direct,1185732,16/11/2021,Midwest,Michigan,Detroit,Men's Street Footwear,50,675,"337,500",168750.00,50%,In-store
Sports Direct,1185732,16/11/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,45,500,"225,000",90000.00,40%,In-store
Sports Direct,1185732,16/11/2021,Midwest,Michigan,Detroit,Women's Street Footwear,45,445,"200,250",60075.00,30%,In-store
Sports Direct,1185732,16/11/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,45,475,"213,750",74813.00,35%,In-store
Sports Direct,1185732,16/11/2021,Midwest,Michigan,Detroit,Men's Apparel,60,450,"270,000",108000.00,40%,In-store
Sports Direct,1185732,16/11/2021,Midwest,Michigan,Detroit,Women's Apparel,65,625,"406,250",223438.00,55%,In-store
Sports Direct,1185732,15/12/2021,Midwest,Michigan,Detroit,Men's Street Footwear,60,850,"510,000",255000.00,50%,In-store
Sports Direct,1185732,15/12/2021,Midwest,Michigan,Detroit,Men's Athletic Footwear,50,650,"325,000",130000.00,40%,In-store
